building_id,hail_address,classification,construction_year,match_stage,match_status,treatment,candidate_address_point_count,candidate_bldgid_count,candidate_bldgids,candidate_addresses,matched_bldgid,match_reason
aberdeen-ave_14-16,14-16 Aberdeen Avenue,Current building,1928,2,accepted,usually_auto_accept,2,1,274-45,14 Aberdeen Ave|16 Aberdeen Ave,274-45,Hail range contains Address Point number(s)
aberdeen-ave_15-17,15-17 Aberdeen Avenue,Razed,1930,0,excluded,exclude,0,0,,,,Hail record is razed
aberdeen-ave_17r,17r Aberdeen Avenue,"Addition, rear, or secondary building",1941,7,unmatched,leave_unmatched,0,0,,,,No credible address candidate
aberdeen-ave_20-22,20-22 Aberdeen Avenue,Current building,1928,2,accepted,usually_auto_accept,2,1,274-42,20 Aberdeen Ave|22 Aberdeen Ave,274-42,Hail range contains Address Point number(s)
aberdeen-ave_23-29,23-29 Aberdeen Avenue,Razed,1873,0,excluded,exclude,0,0,,,,Hail record is razed
aberdeen-ave_24-26,24-26 Aberdeen Avenue,Current building,1928,4,review,manual_review,3,2,270-66|274-39,24 Aberdeen Ave|25 Aberdeen Ave|26 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_25,25 Aberdeen Avenue,Current building,1908,1,accepted,auto_accept,1,1,270-66,25 Aberdeen Ave,270-66,Exact standardized address
aberdeen-ave_27,27 Aberdeen Avenue,Current building,1910,1,accepted,auto_accept,1,1,270-63,27 Aberdeen Ave,270-63,Exact standardized address
aberdeen-ave_28-30,28-30 Aberdeen Avenue,Current building,1928,2,accepted,usually_auto_accept,2,1,274-36,28 Aberdeen Ave|30 Aberdeen Ave,274-36,Hail range contains Address Point number(s)
aberdeen-ave_30,30+ Aberdeen Avenue,Razed,1900,0,excluded,exclude,0,0,,,,Hail record is razed
aberdeen-ave_32-34,32-34 Aberdeen Avenue,Current building,1928,4,review,manual_review,3,2,270-59|274-33,32 Aberdeen Ave|33 Aberdeen Ave|34 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_33,33 Aberdeen Avenue,Current building,1912,1,accepted,auto_accept,1,1,270-59,33 Aberdeen Ave,270-59,Exact standardized address
aberdeen-ave_35-37,35-37 Aberdeen Avenue,Razed,1871,0,excluded,exclude,0,0,,,,Hail record is razed
aberdeen-ave_35-37_2,35-37 Aberdeen Avenue,Current building,1929,2,accepted,usually_auto_accept,2,1,270-54,35 Aberdeen Ave|37 Aberdeen Ave,270-54,Hail range contains Address Point number(s)
aberdeen-ave_38-40,38-40 Aberdeen Avenue,Current building,1928,4,review,manual_review,3,2,270-52|274-30,38 Aberdeen Ave|39 Aberdeen Ave|40 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_39-41,39-41 Aberdeen Avenue,Current building,1926,4,review,manual_review,3,2,270-52|274-30,39 Aberdeen Ave|40 Aberdeen Ave|41 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_43-45,43-45 Aberdeen Avenue,Current building,1929,4,review,manual_review,3,2,270-43|274-27,43 Aberdeen Ave|44 Aberdeen Ave|45 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_44-46,44-46 Aberdeen Avenue,Current building,1928,4,review,manual_review,3,2,270-43|274-27,44 Aberdeen Ave|45 Aberdeen Ave|46 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_47,47 Aberdeen Avenue,Current building,1886,1,accepted,auto_accept,1,1,270-49,47 Aberdeen Ave,270-49,Exact standardized address
aberdeen-ave_53,53 Aberdeen Avenue,Current building,1908,1,accepted,auto_accept,1,1,270-48,53 Aberdeen Ave,270-48,Exact standardized address
aberdeen-ave_54-56,54-56 Aberdeen Avenue,Current building,1841,4,review,manual_review,3,2,270-47|274-1,54 Aberdeen Ave|55 Aberdeen Ave|56 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_55-57,55-57 Aberdeen Avenue,Current building,1919,4,review,manual_review,3,2,270-47|274-1,55 Aberdeen Ave|56 Aberdeen Ave|57 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_57,57 Aberdeen Avenue,Razed,1889,0,excluded,exclude,0,0,,,,Hail record is razed
aberdeen-ave_59-61,59-61 Aberdeen Avenue,Current building,1926,2,accepted,usually_auto_accept,3,1,270-44,59 Aberdeen Ave|60 Aberdeen Ave|61 Aberdeen Ave,270-44,Hail range contains Address Point number(s)
aberdeen-ave_60,60 Aberdeen Avenue,"Addition, rear, or secondary building",1913,7,unmatched,leave_unmatched,0,0,,,,No credible address candidate
aberdeen-ave_63-65,63-65 Aberdeen Avenue,Current building,1926,4,review,manual_review,3,2,270-39|274-25,63 Aberdeen Ave|64 Aberdeen Ave|65 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_64,64 Aberdeen Avenue,Current building,1913,1,accepted,auto_accept,1,1,274-25,64 Aberdeen Ave,274-25,Exact standardized address
aberdeen-ave_67-69,67-69 Aberdeen Avenue,Current building,1915,4,review,manual_review,3,2,270-25|274-18,67 Aberdeen Ave|68 Aberdeen Ave|69 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_68-70,68-70 Aberdeen Avenue,Current building,1925,4,review,manual_review,3,2,270-25|274-18,68 Aberdeen Ave|69 Aberdeen Ave|70 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_73-75,73-75 Aberdeen Avenue,Current building,1924,4,review,manual_review,3,2,270-27|274-12,73 Aberdeen Ave|74 Aberdeen Ave|75 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_74-76,74-76 Aberdeen Avenue,Current building,1925,4,review,manual_review,3,2,270-27|274-12,74 Aberdeen Ave|75 Aberdeen Ave|76 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_78-80,78-80 Aberdeen Avenue,Current building,1925,4,review,manual_review,3,2,270-36|274-14,78 Aberdeen Ave|79 Aberdeen Ave|80 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_79-81,79-81 Aberdeen Avenue,Current building,1924,4,review,manual_review,3,2,270-36|274-14,79 Aberdeen Ave|80 Aberdeen Ave|81 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_83-85,83-85 Aberdeen Avenue,Current building,1924,4,review,manual_review,3,2,270-33|274-17,83 Aberdeen Ave|84 Aberdeen Ave|85 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_84-86,84-86 Aberdeen Avenue,Current building,1925,4,review,manual_review,3,2,270-33|274-17,84 Aberdeen Ave|85 Aberdeen Ave|86 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_87-89,87-89 Aberdeen Avenue,Current building,1924,4,review,manual_review,3,2,270-26|274-16,87 Aberdeen Ave|88 Aberdeen Ave|89 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_88-90,88-90 Aberdeen Avenue,Current building,1915,4,review,manual_review,3,2,270-26|274-16,88 Aberdeen Ave|89 Aberdeen Ave|90 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_91-93,91-93 Aberdeen Avenue,Current building,1924,4,review,manual_review,3,2,270-1|274-13,91 Aberdeen Ave|92 Aberdeen Ave|93 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_92-94,92-94 Aberdeen Avenue,Current building,1925,4,review,manual_review,3,2,270-1|274-13,92 Aberdeen Ave|93 Aberdeen Ave|94 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_97-99,97-99 Aberdeen Avenue,Current building,1924,2,accepted,usually_auto_accept,2,1,270-16,97 Aberdeen Ave|99 Aberdeen Ave,270-16,Hail range contains Address Point number(s)
aberdeen-ave_98-100,98-100 Aberdeen Avenue,Current building,1925,4,review,manual_review,2,2,270-16|274-5,100 Aberdeen Ave|99 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_100r,100r Aberdeen Avenue,Razed,1866,0,excluded,exclude,0,0,,,,Hail record is razed
aberdeen-ave_101-103,101-103 Aberdeen Avenue,Current building,1909,4,review,manual_review,3,2,270-23|274-11,101 Aberdeen Ave|102 Aberdeen Ave|103 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_102-104,102-104 Aberdeen Avenue,Current building,1925,4,review,manual_review,3,2,270-23|274-11,102 Aberdeen Ave|103 Aberdeen Ave|104 Aberdeen Ave,,Street and number agree but suffix/rear/range yields multiple or complex candidates
aberdeen-ave_107,107 Aberdeen Avenue,Current building,1946,1,accepted,auto_accept,1,1,270-21,107 Aberdeen Ave,270-21,Exact standardized address
aberdeen-ave_108-110,108-110 Aberdeen Avenue,Current building,1925,2,accepted,usually_auto_accept,2,1,274-9,108 Aberdeen Ave|110 Aberdeen Ave,274-9,Hail range contains Address Point number(s)
aberdeen-ave_112-114,112-114 Aberdeen Avenue,Current building,1926,2,accepted,usually_auto_accept,2,1,274-6,112 Aberdeen Ave|114 Aberdeen Ave,274-6,Hail range contains Address Point number(s)
aberdeen-ave_115,115 Aberdeen Avenue,Current building,1928,1,accepted,auto_accept,1,1,270-13,115 Aberdeen Ave,270-13,Exact standardized address
aberdeen-ave_118-120,118-120 Aberdeen Avenue,Current building,1926,2,accepted,usually_auto_accept,2,1,274-3,118 Aberdeen Ave|120 Aberdeen Ave,274-3,Hail range contains Address Point number(s)
aberdeen-ave_122-124,122-124 Aberdeen Avenue,Current building,1926,2,accepted,usually_auto_accept,2,1,274-2,122 Aberdeen Ave|124 Aberdeen Ave,274-2,Hail range contains Address Point number(s)
acacia-st_3,3 Acacia Street,Current building,1886,1,accepted,auto_accept,1,1,312-5,3 Acacia St,312-5,Exact standardized address
acacia-st_6,6 Acacia Street,Razed,1873,0,excluded,exclude,0,0,,,,Hail record is razed
acacia-st_6_2,6 Acacia Street,"Addition, rear, or secondary building",1875,1,accepted,auto_accept,1,1,327-6,6 Acacia St,327-6,Exact standardized address
acacia-st_7,7 Acacia Street,Current building,1886,1,accepted,auto_accept,1,1,312-12,7 Acacia St,312-12,Exact standardized address
acacia-st_8-10,8-10 Acacia Street,Current building,1874,4,review,manual_review,3,2,312-14|327-3,10 Acacia St|8 Acacia St|9 Acacia St,,Street and number agree but suffix/rear/range yields multiple or complex candidates
acacia-st_9,9 Acacia Street,Current building,1884,1,accepted,auto_accept,1,1,312-14,9 Acacia St,312-14,Exact standardized address
acorn-pk_15,15 Acorn Park,Current building,1953,7,unmatched,leave_unmatched,0,0,,,,No credible address candidate
acorn-pk_15r,15r Acorn Park,"Addition, rear, or secondary building",1967,7,unmatched,leave_unmatched,0,0,,,,No credible address candidate
acorn-pk_20,20 Acorn Park,Current building,1952,7,unmatched,leave_unmatched,0,0,,,,No credible address candidate
acorn-pk_25,25 Acorn Park,Current building,1960,7,unmatched,leave_unmatched,0,0,,,,No credible address candidate
acorn-pk_26,26 Acorn Park,"Addition, rear, or secondary building",1961,7,unmatched,leave_unmatched,0,0,,,,No credible address candidate
